English Term,中文,Simple English,中文小白理解,Module/Topic,Source Raw File
Automation Platform,自动化平台,A platform that coordinates business workflow steps.,负责协调业务流程各步骤的软件平台。,16 / Automation Platforms,16-ai-workflow-platforms.md; 16-automation-platforms.md
AI Step,AI 步骤,A workflow step that uses an AI capability.,工作流中调用 AI 能力的一步。,16 / AI Workflow Platforms,16-automation-platforms.md
LLM Chain,LLM 链,A connected sequence of large language model operations or components.,把多个大语言模型处理步骤按顺序连接起来。,16 / AI Workflow Platforms,16-ai-workflow-platforms.md
RAG Pipeline,RAG 流水线,A pipeline that retrieves knowledge and uses it to generate an answer.,把检索资料和回答生成连起来的一组处理步骤。,16 / AI Workflow Platforms,16-ai-workflow-platforms.md
Trigger,触发器;触发条件,An event or signal that starts a workflow.,让工作流开始运行的事件或信号。,16 / AI Workflow Platforms,16-ai-workflow-platforms.md; 16-automation-platforms.md; 17-deployment-operations.md
Connector,连接器,A connection that lets a product work with another service or source.,让产品接入其他服务或资料来源的连接。,16 / AI Workflow Platforms,14-general-agents-computer-use.md
API Orchestration,API 编排,Coordinating multiple API calls into a workflow.,把多个 API 调用组织成一个完整流程。,16 / AI Workflow Platforms,16-automation-platforms.md
REST API,REST API 接口,An API style that exposes resources and actions through standard web conventions.,按常见 Web 规则通过接口访问资源和操作。,"17 / Data, APIs & Authentication",17-data-api-authentication.md
HTTP,HTTP 网络协议,The protocol commonly used to exchange requests and responses on the web.,网页和服务之间传递请求与响应的基础协议。,"17 / Data, APIs & Authentication",10-model-serving.md; 19-backend-technologies.md
Database,数据库,A system that stores and retrieves structured application data.,专门保存、查询和更新结构化数据的系统。,"17 / Data, APIs & Authentication",01-artificial-intelligence.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-parameters.md; 03-scientific-models.md; 06-structured-outputs.md; 08-embeddings.md; 08-grounding.md; 08-rag.md; 08-retrieval.md; 08-vector-database.md; 09-mcp.md; 15-how-agents-are-built.md; 16-ai-workflow-platforms.md; 17-data-api-authentication.md; 17-frontend-backend.md; 18-backend-data-platforms.md; 18-web-cloud-platforms.md; 19-data-technologies.md
Relational Database,关系型数据库,A database that organizes data into related tables.,把数据放在相互关联的表里的数据库。,"17 / Data, APIs & Authentication",18-backend-data-platforms.md; 19-data-technologies.md
Document Database,文档数据库,A database that stores records as documents.,把数据以文档形式保存的数据库。,"17 / Data, APIs & Authentication",18-backend-data-platforms.md; 19-data-technologies.md
File Storage,文件存储,Storage intended for files and media.,专门保存文件和媒体的存储。,"17 / Data, APIs & Authentication",17-data-api-authentication.md; 18-backend-data-platforms.md
Content Delivery Network (CDN),内容分发网络（CDN）,A distributed network that serves content from locations closer to users.,把内容放到离用户更近的节点来加快访问。,"17 / Data, APIs & Authentication",17-deployment-operations.md; 18-web-cloud-platforms.md
Backend,后端,"Server-side software that handles data, business logic, and APIs.",在服务器上处理数据、业务和接口的部分。,"17 / Data, APIs & Authentication",10-api.md; 10-vllm.md; 17-data-api-authentication.md; 17-frontend-backend.md; 18-web-cloud-platforms.md; 19-backend-technologies.md; 19-product-services.md
Frontend,前端,The user-facing part of an application that runs in a browser or client.,用户看到并操作的界面部分。,17 / Frontend & Backend,17-frontend-backend.md; 18-web-cloud-platforms.md; 19-backend-technologies.md; 19-frontend-technologies.md
Client,客户端,The side of a connection that requests or consumes a service.,连接中发起请求或使用服务的一方。,17 / Frontend & Backend,09-mcp.md; 19-backend-technologies.md
Server,服务器,A computer or service that performs backend work.,承担后台处理工作的计算机或软件服务。,17 / Frontend & Backend,09-mcp.md; 10-model-serving.md; 17-frontend-backend.md; 18-developer-platforms.md
Service,服务,A software capability that performs work for an application.,为应用提供某种功能的软件能力。,17 / Frontend & Backend,09-mcp.md; 10-model-serving.md; 10-ollama.md; 10-runtime-constraints.md; 10-vllm.md; 17-data-api-authentication.md; 17-frontend-backend.md; 18-web-cloud-platforms.md; 19-backend-technologies.md
Cloud Deployment,云部署,Release an application to cloud infrastructure.,把应用发布到云平台运行。,17 / Deployment & Operations,03-large-language-models.md; 10-api.md; 10-local-vs-cloud.md; 10-runtime-constraints.md; 13-open-closed-local-models.md; 17-deployment-operations.md
Continuous Deployment,持续部署,Automatically release a change after it passes the pipeline.,"代码通过自动检查后,自动发布到线上。",17 / Deployment & Operations,12-deployment.md; 17-deployment-operations.md
Backend Platform,后端平台,A platform that provides services behind an application's interface.,在应用界面背后负责数据、登录、文件和接口等工作的平台。,18 / Backend & Data Platforms,18-backend-data-platforms.md; 19-backend-technologies.md; 19-product-services.md
Managed Database,托管数据库,A database operated and maintained by a provider.,由服务商负责运行维护的数据库。,18 / Backend & Data Platforms,18-backend-data-platforms.md; 18-web-cloud-platforms.md
Edge Function,边缘函数,A function deployed to an edge execution environment.,部署到边缘节点执行的一段服务端代码。,18 / Backend & Data Platforms,18-backend-data-platforms.md
Serverless,无服务器架构,A deployment model where the platform runs servers for application code on demand.,开发者不用自己管理服务器，平台按需运行代码。,18 / Web & Cloud Platforms,18-web-cloud-platforms.md
Edge Compute,边缘计算,Running computation at distributed edge locations instead of one central server.,"不只在中心服务器,而是在分布式边缘位置执行计算。",18 / Web & Cloud Platforms,18-web-cloud-platforms.md
Edge Network,边缘网络,A distributed network of locations that serves traffic close to users.,由许多靠近用户的节点组成、用于处理流量的分布式网络。,18 / Web & Cloud Platforms,18-web-cloud-platforms.md
Developer Platform,开发者平台,A service built around repositories for teamwork and delivery.,围绕代码仓库提供团队协作和交付能力的服务。,18 / Developer Platforms,18-developer-platforms.md
Deploy Preview,部署预览,A preview version generated by a deployment workflow.,由部署流程生成的预览版本。,18 / Developer Platforms,18-web-cloud-platforms.md
PostgreSQL,PostgreSQL 关系型数据库,An open-source relational database system.,一种常用的开源关系型数据库。,18 / Backend & Data Platforms,17-data-api-authentication.md; 18-backend-data-platforms.md; 18-web-cloud-platforms.md; 19-data-technologies.md
RLS,行级安全(RLS),Short name for Row-Level Security.,Row-Level Security 的英文缩写。,18 / Backend & Data Platforms,18-backend-data-platforms.md
Cloud Platform,云平台,Internet-hosted infrastructure and services used to run software.,通过互联网提供、用来运行软件的基础设施和服务。,18 / Web & Cloud Platforms,13-open-closed-local-models.md; 18-web-cloud-platforms.md
JavaScript,JavaScript 编程语言,A programming language widely used for web interfaces and Node.js services.,网页交互和 Node.js 服务常用的编程语言。,19 / Backend Technologies,07-text-generation.md; 17-frontend-backend.md; 19-backend-technologies.md; 19-frontend-technologies.md
TypeScript,TypeScript 编程语言,A typed programming language that extends JavaScript.,给 JavaScript 增加类型系统的编程语言。,19 / Backend Technologies,19-backend-technologies.md; 19-frontend-technologies.md
Python,Python 编程语言,A general-purpose programming language widely used for AI and backend work.,常用于 AI、数据处理和后端开发的编程语言。,19 / Backend Technologies,07-text-generation.md; 17-frontend-backend.md; 19-backend-technologies.md
Node.js,Node.js 运行环境,A runtime for executing JavaScript outside the browser.,让 JavaScript 能在浏览器之外运行的环境。,19 / Backend Technologies,17-frontend-backend.md; 19-backend-technologies.md
FastAPI,FastAPI Python 接口框架,A modern Python framework for building APIs.,用 Python 快速构建 Web 接口的框架。,19 / Backend Technologies,17-frontend-backend.md; 19-backend-technologies.md
Express,Express Node.js 框架,A lightweight Node.js framework for building web servers and APIs.,用 Node.js 构建网页服务器和接口的轻量框架。,19 / Backend Technologies,19-backend-technologies.md
React,React 前端库,A JavaScript library for building user interfaces from reusable components.,用可复用组件构建网页界面的 JavaScript 库。,19 / Frontend Technologies,17-frontend-backend.md; 19-frontend-technologies.md
Next.js,Next.js Web 框架,A React-based framework for building web applications.,基于 React、用于构建 Web 应用的框架。,19 / Frontend Technologies,17-frontend-backend.md; 18-web-cloud-platforms.md; 19-frontend-technologies.md
Cache,缓存,Temporarily stored data used to avoid repeating expensive work.,把常用或已计算过的内容暂存起来，减少重复工作。,19 / Backend Technologies,03-large-language-models.md; 05-kv-cache.md; 18-web-cloud-platforms.md; 19-data-technologies.md
Data Pipeline,数据管道,A sequence for moving and processing data.,移动和处理数据的一系列步骤。,19 / Data Technologies,19-backend-technologies.md
SaaS,软件即服务,Software provided and operated as an online service.,不必自己安装和维护、通过网络使用的软件服务。,19 / Product Services,16-automation-platforms.md
